OrderDetailID,OrderID,ProductID,Quantity,UnitPrice
1,1,306,3,1674.17
2,1,156,1,1185.27
3,2,50,1,3787.06
4,2,85,3,1545.67
5,2,375,1,865.22
6,3,390,1,2907.31
7,3,407,5,4507.53
8,4,297,3,557.93
9,4,141,1,3164.3
10,4,353,1,342.91
11,4,57,1,257.1
12,5,347,2,1642.84
13,6,124,3,715.32
14,7,4,1,3548.75
15,7,407,2,4810.76
16,8,312,1,2412.03
17,9,445,2,5161.19
18,10,456,1,2171.5
19,10,51,3,4934.04
20,11,84,2,3352.56
21,12,249,2,6212.66
22,13,412,1,5595.38
23,14,493,1,607.63
24,14,253,2,1169.38
25,15,457,3,2644.69
26,16,427,2,4898.08
27,16,109,1,2011.87
28,17,10,2,2260.41
29,18,427,1,4941.99
30,19,65,1,5436.99
31,19,385,1,6123.97
32,20,60,1,1476.21
33,20,47,3,1929.86
34,21,273,2,4803.29
35,21,332,1,4254.41
36,22,433,2,3108.06
37,22,238,1,2811.18
38,23,184,1,5867.89
39,23,50,2,3560.55
40,24,433,1,3019.16
41,24,68,3,1306.68
42,24,382,1,1437.27
43,25,52,2,735.46
44,25,373,1,478.06
45,25,414,3,4008.32
46,26,293,2,1778.78
47,27,51,5,4658.57
48,27,171,1,2368.58
49,27,182,3,1890.46
50,28,105,1,4176.15
51,29,290,1,3142.04
52,29,195,2,2026.81
53,29,499,2,2579.7
54,30,107,5,4521.03
55,31,384,1,4144.0
56,31,65,5,5480.41
57,32,433,3,3140.71
58,32,145,1,433.59
59,32,52,1,695.66
60,33,67,2,4521.24
61,34,96,3,5644.71
62,34,387,2,1968.86
63,35,161,1,2168.0
64,36,48,3,6847.04
65,36,273,2,5247.35
66,36,179,1,6663.76
67,36,95,1,1656.37
68,37,308,1,5308.12
69,38,227,2,6391.35
70,38,20,2,3006.67
71,39,445,2,5400.8
72,40,458,2,1139.41
73,41,68,1,1257.64
74,42,65,3,5340.87
75,42,52,2,695.49
76,42,415,2,6513.89
77,43,195,2,2079.61
78,43,103,2,5955.18
79,44,366,1,5322.85
80,45,427,1,4664.3
81,46,383,3,3840.34
82,46,430,3,2144.32
83,46,119,1,4525.39
84,47,65,1,5556.08
85,47,19,3,3083.63
86,48,445,1,5605.83
87,48,54,1,328.93
88,49,351,1,5618.81
89,50,195,1,1985.81
90,51,458,5,1130.78
91,52,19,1,3076.69
92,52,287,2,3235.78
93,52,286,1,4411.52
94,52,23,3,5752.42
95,53,108,2,3877.98
96,53,463,2,3489.26
97,53,52,2,719.9
98,53,119,2,4458.06
99,54,249,1,6239.4
100,55,121,1,1986.51
101,55,412,3,5368.94
102,55,423,1,7077.77
103,56,233,3,3036.21
104,57,281,2,5803.41
105,57,398,3,5311.88
106,58,307,1,565.35
107,58,50,1,3781.86
108,58,371,1,2695.5
109,58,52,1,727.22
110,59,50,1,3855.38
111,59,4,1,3509.37
112,59,421,2,2576.71
113,59,141,1,3400.6
114,60,28,1,2396.09
115,61,214,1,3476.28
116,62,65,1,5672.49
117,62,273,2,5103.9
118,63,412,1,5309.22
119,63,230,3,5338.3
120,63,79,1,1584.58
121,64,394,1,1916.01
122,64,195,3,1986.33
123,64,260,1,2952.57
124,65,312,1,2312.08
125,65,470,3,3345.8
126,66,230,1,5433.79
127,67,250,2,1832.84
128,67,211,2,4843.69
129,68,296,3,977.39
130,68,477,1,2704.49
131,69,416,3,411.71
132,69,394,1,2011.51
133,69,255,3,3430.48
134,70,468,2,3624.53
135,71,226,1,2960.2
136,72,481,1,1917.95
137,72,50,1,3575.86
138,72,60,1,1575.56
139,73,12,2,6157.14
140,74,40,2,4693.14
141,74,300,5,4077.64
142,75,489,1,3202.11
143,75,427,1,4758.25
144,75,278,1,4701.25
145,76,128,1,2248.03
146,76,20,1,2740.54
147,77,433,1,3010.09
148,77,195,1,2128.11
149,77,76,2,2329.9
150,78,5,1,640.27
151,78,407,1,4857.62
152,79,232,1,2565.47
153,79,329,1,6377.16
154,79,60,2,1589.96
155,80,193,5,7084.05
156,81,158,1,3792.24
157,82,297,1,524.7
158,82,226,2,2992.86
159,82,58,1,2278.26
160,83,352,2,335.0
161,83,345,1,550.17
162,83,161,1,2165.44
163,83,103,1,6188.54
164,84,195,1,2014.75
165,84,253,3,1281.18
166,85,249,1,6388.05
167,86,20,2,2956.69
168,86,191,3,5617.62
169,87,198,1,189.16
170,88,33,2,2984.12
171,88,4,3,3352.77
172,88,52,1,733.11
173,89,116,2,3294.68
174,90,86,1,1789.95
175,91,398,2,5698.13
176,91,283,2,4808.18
177,91,252,1,177.96
178,91,390,1,2928.61
179,92,249,1,5931.35
180,92,483,1,4766.61
181,92,349,5,3957.86
182,93,476,1,5891.8
183,93,391,1,4393.86
184,94,172,2,2033.41
185,94,278,3,4767.66
186,95,257,1,1734.69
187,95,358,3,5452.62
188,95,407,1,4767.1
189,96,440,1,1621.21
190,96,233,1,3179.0
191,96,349,1,3991.54
192,97,50,1,3725.85
193,97,355,1,6290.66
194,97,270,2,3595.71
195,98,27,1,3550.6
196,99,439,2,5565.94
197,100,385,1,6068.83
198,101,65,1,5877.55
199,101,311,1,3612.73
200,102,475,1,2329.18
201,103,355,1,6648.56
202,103,427,1,4586.2
203,103,179,1,7040.88
204,103,247,5,4539.8
205,104,281,1,5251.69
206,104,314,5,2216.52
207,105,65,1,5735.82
208,106,387,1,1956.5
209,106,86,2,1823.64
210,107,296,1,927.41
211,107,398,1,5410.92
212,108,250,1,1872.85
213,108,374,1,5977.59
214,108,407,1,4901.08
215,109,329,1,6300.09
216,110,414,1,4210.39
217,110,79,2,1603.53
218,111,445,1,5309.13
